SIS User ID,Section,Pre-Test (3468054),Introductions (3468065),Getting Started Quiz (3468048),Journal 1 (3468074),Journal 2 (3468075),Journal 3 (3468076),Journal 4 (3468077),Journal 5 (3468078),Journal 6 (3468079),Journal 7 (3468080),Journal 8 (3468081),Journal 9 (3468082),Journal 10 (3468083),Journal 11 (3468084),Journal 12 (3468085),Quiz 01 Java (3693495),Quiz 02 Variables (3468050),Quiz 03 Classes / Operators / Arithmetic (3468058),Quiz 04 Decisions (3468059),Quiz 05 Methods (3468060),Quiz 06 Loops (3468053),Quiz 07 Exceptions (3468052),Quiz 08 OOP (3468049),Quiz 09 Arrays (3468051),Quiz 10 Data Structures / Collections (3468047),Quiz 11 2d Arrays / Generics (3468055),Quiz 12 OOP2 (3468062),Quiz 13 Strings (3468061),Quiz Avg,Exercises Variables (3468069),Exercises Operators & Arithmetic / Basics (3468086),Exercises Flow Control / If and Switch (3468068),Exercises Methods (3468087),Exercises Loops (3468070),Exercises Exception Handling (3468092),Exercises Classes (3468090),Exercises Arrays & Collections / Arrays (3468088),Exercises Miscellaneous / Generics (3468093),Exercises Inheritance & Polymorphism / Abstract Class and Inheritance (3468091),Exercises Strings (3468089),Integration Project PSI 1 Inspection (3468071),Innovation Project PSI 1 Inspection (3469101),Integration Project PSI 2 Inspection (3468072),Innovation Project PSI 2 Inspection (3597374),Integration Project PSI 3 Inspection (3468073),Innovation Project PSI 3 Inspection (3597377),Integration Project 4 Inspection (3468094),Innovation Project Final (3597403),Integration Project Final  (3468066),Team Score (3468095),Portfolio Update (3468067),Extra Credit (3468064),Post-Test (3468057),Final Exam  (3468056),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Teamwork Current Score,Teamwork Unposted Current Score,Teamwork Final Score,Teamwork Unposted Final Score,Portfolio Current Score,Portfolio Unposted Current Score,Portfolio Final Score,Portfolio Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,36,50,8,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,10,10,11,10,10,11,10,11,11,10,100,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,100,100,100,100,100,100,100,500,36,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU814765387,201508-80337-1,36,50,8,10,10,10,10,10,10,10,9,10,10,8,10,7,11,7,7,6,11,8,7,10,8,10,8,8,80,3,6,3,3,3,2,3,6,3,6,3,100,100,80,80,67,88,98,63,91,100,100,250,22,37,100,100,100,100,97.5,97.5,97.5,97.5,82.61,82.61,82.61,82.61,97.62,97.62,97.62,97.62,85.22,85.22,85.22,85.22,100,100,100,100,100,100,100,100,50,50,50,50,43.38,43.38,43.38,43.38,92.28,92.28,92.28,92.28
STU814954937,201508-80337-1,36,50,8,10,0,10,4,8,10,8,8,8,10,8,10,10,11,9,8,8.67,8,8,7,10,7,10,9,9,84.94074074,3,6,3,3,3,3,3,6,3,6,3,90,100,95,97,97,78,75,95,91,95,80,,31,55,100,100,100,100,78.33,78.33,78.33,78.33,87.54,87.54,87.54,87.54,100,100,100,100,90.89,90.89,90.89,90.89,95,95,95,95,80,80,80,80,,,0,0,63.24,63.24,63.24,63.24,91.51,91.51,91.51,91.51
STU814995543,201508-80337-1,36,50,8,10,8,10,9,9,10,10,9,10,9,,9,7,11,8,9,10,10,9,10,9,8,9,9,9,87.40740741,3,6,3,3,3,3,3,6,3,6,3,90,100,90,89,90,82,90,86,91,100,100,,32,81,100,100,100,100,93.64,93.64,85.83,85.83,89.57,89.57,89.57,89.57,100,100,100,100,89.78,89.78,89.78,89.78,100,100,100,100,100,100,100,100,,,0,0,83.09,83.09,83.09,83.09,94.7,94.7,94.31,94.31
STU814857130,201508-80337-1,36,50,8,8,10,10,10,10,8,10,8,10,10,10,10,10,11,5,9,8.67,9,8,8,10,9,10,9,8,84.94074074,3,6,3,3,3,3,3,6,3,6,3,100,100,100,96,75,94,100,97,100,100,95,,34,55,100,100,100,100,95,95,95,95,88.41,88.41,88.41,88.41,100,100,100,100,95.78,95.78,95.78,95.78,100,100,100,100,95,95,95,95,,,0,0,65.44,65.44,65.44,65.44,94.61,94.61,94.61,94.61
STU814973040,201508-80337-1,36,50,8,6,6,8,8,7,9,,6,10,8,10,8,8,11,5,8,6.67,9,9,9,6,9,5,7,6,73.08888889,3,6,3,3,3,3,2,6,3,5,3,100,100,55,84,85,93,96,95,100,95,100,,25,42,100,100,100,100,78.18,78.18,71.67,71.67,77.78,77.78,77.78,77.78,95.24,95.24,95.24,95.24,89.78,89.78,89.78,89.78,95,95,95,95,100,100,100,100,,,0,0,49.26,49.26,49.26,49.26,87.97,87.97,87.64,87.64
STU814970208,201508-80337-1,36,43,8,10,6,8,6,7,7,9,5,5,10,6,,12,11,9,8,9,9,7,8,10,8,0,9,10,81.48148148,3,6,3,3,3,2,3,6,0,6,3,90,100,100,92,90,95,99,90,88,95,95,,32,78,92.55,92.55,92.55,92.55,71.82,71.82,65.83,65.83,91.35,91.35,90.35,90.35,90.48,90.48,90.48,90.48,93.78,93.78,93.78,93.78,95,95,95,95,95,95,95,95,,,0,0,80.88,80.88,80.88,80.88,90.45,90.45,89.96,89.96
STU814945705,201508-80337-1,36,50,8,10,10,10,10,10,9,10,10,9,10,10,10,10,11,8,7,10,8,10,9,10,8,10,11,6,87.40740741,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,100,100,100,100,98,100,100,,33,76,100,100,100,100,98.33,98.33,98.33,98.33,91.3,91.3,91.3,91.3,100,100,100,100,99.78,99.78,99.78,99.78,100,100,100,100,100,100,100,100,,,0,0,80.15,80.15,80.15,80.15,97.14,97.14,97.14,97.14
STU814944905,201508-80337-1,36,50,8,10,10,10,10,10,10,10,8,10,10,10,10,9,11,7,7,7,10,8,6,8,8,3,9,5,72.59259259,3,6,3,3,3,3,3,6,3,6,3,95,100,100,97,90,94,100,86,98,100,100,0,27,40,100,100,100,100,98.33,98.33,98.33,98.33,78.95,78.95,78.95,78.95,100,100,100,100,95.56,95.56,95.56,95.56,100,100,100,100,100,100,100,100,0,0,0,0,49.26,49.26,49.26,49.26,92.28,92.28,92.28,92.28
STU815065718,201508-80337-1,36,50,6,10,6,10,8,,9,10,9,10,9,10,9,6,11,9,7,8,8,9,7,9,10,9,9,8,81.48148148,3,6,3,3,3,3,3,6,2,6,3,100,100,95,0,88,95,100,88,96,100,100,,30,98,97.87,97.87,97.87,97.87,90.91,90.91,83.33,83.33,84.35,84.35,84.35,84.35,97.62,97.62,97.62,97.62,84.67,84.67,84.67,84.67,100,100,100,100,100,100,100,100,,,0,0,94.12,94.12,94.12,94.12,92.11,92.11,91.74,91.74
STU814955141,201508-80337-1,36,50,7,10,8,10,9,9,8,9,9,9,9,9,8,11,11,7,7,10,9,9,9,9,9,7,9,7,84.44444444,3,6,3,3,3,3,3,6,3,6,3,90,100,95,88,80,100,99,97,100,100,100,,33,96,98.94,98.94,98.94,98.94,89.17,89.17,89.17,89.17,87.72,87.72,87.72,87.72,100,100,100,100,94.33,94.33,94.33,94.33,100,100,100,100,100,100,100,100,,,0,0,94.85,94.85,94.85,94.85,95.56,95.56,95.56,95.56
STU815038219,201508-80337-1,36,50,8,6,8,10,,,,,,,,,,10,11,8,7,8,7,9,6,0,0,0,0,0,48.88888889,3,6,3,2,3,2,,,,,,100,90,60,,,,,,,,,,,,100,100,100,100,80,80,20,20,86.89,86.89,58.41,58.41,90.48,90.48,45.24,45.24,83.33,83.33,27.78,27.78,,,0,0,,,0,0,,,0,0,,,0,0,87.89,87.89,39.07,39.07
STU815017385,201508-80337-1,36,50,8,10,10,10,10,10,10,8,10,10,10,10,10,10,11,8,4,9,6,8,6,8,7,8,9,5,73.33333333,3,6,3,3,3,3,3,6,3,6,3,100,100,100,97,98,100,96,96,98,100,100,,24,47,100,100,100,100,98.33,98.33,98.33,98.33,78.26,78.26,78.26,78.26,100,100,100,100,98.33,98.33,98.33,98.33,100,100,100,100,100,100,100,100,,,0,0,52.21,52.21,52.21,52.21,92.85,92.85,92.85,92.85
STU815054821,201508-80337-1,36,50,8,10,10,10,10,10,10,10,8,10,10,9,10,9,11,6,6,9,10,7,7,8,8,8,10,8,79.25925926,3,6,3,3,3,2,2,5,3,6,3,75,100,93,95,75,85,88,81,98,100,95,,27,40,100,100,100,100,97.5,97.5,97.5,97.5,82.61,82.61,82.61,82.61,92.86,92.86,92.86,92.86,87.78,87.78,87.78,87.78,100,100,100,100,95,95,95,95,,,0,0,49.26,49.26,49.26,49.26,88.67,88.67,88.67,88.67
STU814804957,201508-80337-1,36,50,7,4,8,10,10,10,10,10,9,10,9,10,10,10,11,3,8,7.67,6,8,6,7,6,6,7,0,63.45925926,3,6,3,3,3,1,3,6,3,6,3,90,100,85,73,80,80,84,62,87,95,85,,26,46,98.94,98.94,98.94,98.94,91.67,91.67,91.67,91.67,73.72,73.72,71.88,71.88,95.24,95.24,95.24,95.24,82.33,82.33,82.33,82.33,95,95,95,95,85,85,85,85,,,0,0,52.94,52.94,52.94,52.94,85.72,85.72,85.35,85.35
STU814983968,201508-80337-1,36,43,8,6,10,10,8,8,9,10,10,10,9,10,10,7,11,4,7,5.33,3,6,4,5,7,7,7,8,60.24444444,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,75,83,95,71,94,95,99,300,27,54,92.55,92.55,92.55,92.55,91.67,91.67,91.67,91.67,65.2,65.2,65.2,65.2,100,100,100,100,90.89,90.89,90.89,90.89,95,95,95,95,99,99,99,99,60,60,60,60,59.56,59.56,59.56,59.56,91.11,91.11,91.11,91.11
STU814842095,201508-80337-1,36,50,8,10,10,10,10,10,10,10,10,10,10,10,10,12,11,10,8,9.67,10,9,9,11,10,10,10,8,94.57037037,3,6,3,3,3,3,3,6,3,6,3,100,100,100,93,90,100,99,100,100,100,93,100,31,96,100,100,100,100,100,100,100,100,97.1,97.1,97.1,97.1,100,100,100,100,98,98,98,98,100,100,100,100,93,93,93,93,20,20,20,20,93.38,93.38,93.38,93.38,99.34,99.34,99.34,99.34
STU814863384,201508-80337-1,36,50,8,8,10,10,8,9,10,10,10,10,10,10,8,9,11,0,10,10,0,0,9,9,10,9,9,9,70.37037037,3,6,3,3,3,2,3,6,3,6,3,100,100,100,92,88,100,97,100,91,100,90,,31,93,100,100,100,100,94.17,94.17,94.17,94.17,93.9,93.9,83.33,83.33,97.62,97.62,97.62,97.62,96.44,96.44,96.44,96.44,100,100,100,100,90,90,90,90,,,0,0,91.18,91.18,91.18,91.18,96,96,93.89,93.89
STU814988847,201508-80337-1,36,50,8,10,10,10,10,10,10,8,10,10,10,10,10,11,11,9,9,8.67,6,8,7,10,7,8,8,9,82.71851852,3,6,3,3,3,3,3,6,3,6,3,100,100,85,100,82,92,90,93,94,95,95,,27,15,100,100,100,100,98.33,98.33,98.33,98.33,86.55,86.55,86.55,86.55,100,100,100,100,92.89,92.89,92.89,92.89,95,95,95,95,95,95,95,95,,,0,0,30.88,30.88,30.88,30.88,91.85,91.85,91.85,91.85
STU814986928,201508-80337-1,36,50,8,10,8,10,10,10,10,10,8,10,10,10,8,9,11,8,6,10,10,0,6,9,7,9,6,5,71.11111111,3,6,3,3,3,3,3,6,3,6,3,100,100,90,100,95,100,93,95,91,95,115,,28,48,100,100,100,100,95,95,95,95,81.73,81.73,79.13,79.13,100,100,100,100,96,96,96,96,95,95,95,95,115,115,115,115,,,0,0,55.88,55.88,55.88,55.88,93.59,93.59,93.07,93.07
