SIS User ID,Section,Pre-Test (4449159),Getting Started Quiz (4449161),Introductions (4449175),Journal 1 (4449196),Journal 2 (4449201),Journal 3 (4449202),Journal 4 (4449203),Journal 5 (4449204),Journal 6 (4449205),Journal 7 (4449206),Journal 8 (4449207),Journal 9 (4449208),Journal 10 (4449197),Journal 11 (4449198),Journal 12 (4449199),Journal 13 (4449200),Quiz 01 Java (4449164),Quiz 02 Variables (4449163),Quiz 03 Operators (4449170),Quiz 05 Decisions (4449162),Quiz 04 Methods (4449173),Quiz 06 Loops (4449168),Quiz 07 Arrays (4449158),"Quiz 08 Collections, Interfaces, Recursion, Maps, Big O (4449167)",Quiz 09 Number Systems and Strings  (4449166),Quiz 10 2d Arrays / Generics (4449171),Quiz 11 OOP (4449174),Quiz 12 Exceptions (4449160),Quiz 13 Data Structures / Collections (4449172),Quiz Avg,Exercises 1 (4449176),Exercises 2 (4449181),Exercises 3 (4449182),Exercises 4 (4449183),Exercises 5 (4449184),Exercises 7 (4449186),Exercises 6 (4449185),Exercises 8 (4449187),Exercises 9 (4449188),Exercises 10 (4449177),Exercises 11 (4449178),Exercises 12 (4449179),Exercises 13 (4449180),Integration Project PSI 1 Inspection (4449193),Innovation Project PSI 1 Inspection (4449190),Integration Project PSI 2 Inspection (4449194),Innovation Project PSI 2 Inspection (4449191),Integration Project PSI 3 Inspection (4449195),Innovation Project Final (4449189),Integration Project Final  (4449192),Portfolio Update (4449209),Post-Test (4532035),SPoI (4449210),Final Exam  (4449165),Team Check In (4449212),Team Check Up (4449214),Team Review (4449211),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Team Score Current Score,Team Score Unposted Current Score,Team Score Final Score,Team Score Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,34,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,50,50,100,100,100,35,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815191683,201708-80599-1,34,8,50,10,10,10,10,10,10,10,10,10,10,8,8,10,10,10,12,9,9,8,9,0,10,0,8,8,8,77.69230769,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,94,80,89,100,45,50,98,100,100,35,100,100,100,100,96.92,96.92,96.92,96.92,91.82,91.82,91.82,91.82,100,100,100,100,94.71,94.71,94.71,94.71,100,100,100,100,97.5,97.5,97.5,97.5,98,98,98,98,96.7,96.7,96.7,96.7
STU815155111,201708-80599-1,34,5,50,6,6,4,4,0,6,0,0,0,6,2,0,0,5,10,9,8,4,6,6,0,3,4,0,7,7,53.07692308,10,10,10,5,10,7.5,10,10,10,10,10,10,5,43,100,78,100,90,100,41,100,36,50,57,100,,31,96.74,96.74,96.74,96.74,26.15,26.15,26.15,26.15,62.73,62.73,62.73,62.73,90.38,90.38,90.38,90.38,78.86,78.86,78.86,78.86,97.04,97.04,55.74,55.74,93,93,93,93,57,57,57,57,71.9,71.9,71.08,71.08
STU815188918,201708-80599-1,34,8,50,10,10,10,10,10,10,10,10,10,10,9,9,9,10,10,12,9,10,10,0,8,10,9,9,9,9,88.46153846,10,10,10,10,10,10,10,10,10,10,10,10,10,93,100,100,100,100,100,90,100,47,50,100,100,100,35,100,100,100,100,97.69,97.69,97.69,97.69,97.27,97.27,97.27,97.27,100,100,100,100,97.57,97.57,97.57,97.57,100,100,100,100,98.5,98.5,98.5,98.5,100,100,100,100,98.64,98.64,98.64,98.64
STU815190973,201708-80599-1,34,8,50,10,10,10,10,10,10,10,10,8,0,9,0,8,8,10,12,10,10,8,10,6,8,9,10,7,6,87.69230769,10,10,10,10,10,10,10,10,10,10,10,10,10,91,100,100,100,95,100,95,100,43,,88,100,100,6,100,100,100,100,80.77,80.77,80.77,80.77,92.73,92.73,92.73,92.73,100,100,100,100,97.29,97.29,97.29,97.29,87.66,87.66,87.66,87.66,95.33,95.33,71.5,71.5,88,88,88,88,94.2,94.2,93.73,93.73
STU815144835,201708-80599-1,34,8,50,0,8,6,6,8,8,10,4,9,0,0,0,0,8,10,11,5,8,9,7,9,7,8,4,7,10,79.23076923,10,10,10,10,0,10,10,10,0,10,10,7,5,33,100,63,100,57,100,,0,36,50,54,0,,,100,100,100,100,45.38,45.38,45.38,45.38,85.45,85.45,85.45,85.45,78.46,78.46,78.46,78.46,75.5,75.5,64.71,64.71,0,0,0,0,43,43,43,43,54,54,54,54,71.38,71.38,69.22,69.22
STU814911014,201708-80599-1,34,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,9,9,10,8,10,7,10,9,8,8,9,88.46153846,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,95,20,40,50,100,100,100,35,100,100,100,100,100,100,100,100,90.91,90.91,90.91,90.91,100,100,100,100,99.29,99.29,99.29,99.29,100,100,100,100,55,55,55,55,100,100,100,100,97.14,97.14,97.14,97.14
STU815184582,201708-80599-1,34,0,50,6,10,10,10,8,10,10,10,10,8,6,8,8,7,10,12,9,7,,9,6,0,5,0,7,3,62.5,10,10,10,10,10,0,10,10,0,0,10,10,10,100,100,100,100,90,100,81,100,43,50,97,100,,,91.3,91.3,91.3,91.3,87.69,87.69,87.69,87.69,75,75,68.18,68.18,76.92,76.92,76.92,76.92,95.86,95.86,95.86,95.86,100,100,42.55,42.55,96.5,96.5,96.5,96.5,97,97,97,97,84.62,84.62,82.1,82.1
STU815163378,201708-80599-1,34,8,50,10,10,10,10,10,10,10,10,10,10,10,8,10,9,8,9,7,8,6,5,7,10,5,5,4,6,68.46153846,10,10,10,10,10,10,10,10,10,10,10,10,10,64,100,100,100,76,95,82,90,32,50,82,100,100,31,100,100,100,100,98.46,98.46,98.46,98.46,72.73,72.73,72.73,72.73,100,100,100,100,88.14,88.14,88.14,88.14,98.3,98.3,98.3,98.3,86,86,86,86,82,82,82,82,90.22,90.22,90.22,90.22
STU814821899,201708-80599-1,34,7,50,10,10,10,10,10,10,8,10,10,10,10,10,10,9,8,8,7,7,7,6,8,8,6,5,7,,71.66666667,10,10,10,10,10,10,10,10,10,10,10,10,10,78,100,88,100,14,100,38,0,31,50,35,100,100,31,98.91,98.91,98.91,98.91,98.46,98.46,98.46,98.46,75,75,73.64,73.64,100,100,100,100,74,74,74,74,98.3,98.3,98.3,98.3,40.5,40.5,40.5,40.5,35,35,35,35,83.14,83.14,82.87,82.87
