Section,Introductions (2680905),Quiz 01 Java (2680904),Quiz 02 IPO (2680902),Quiz 03 Methods (2680900),Quiz 04 Decisions (2680898),Quiz 05 Repetition while (2680896),Quiz 06 Repetition for (2680895),Quiz 07 Exceptions (2680892),Quiz 08 Classes (2680903),Quiz 09 Arrays (2680894),Quiz 10 Arrays 2 (2680901),Quiz 11 OOP 2 (2680893),Quiz 12 Lists (2680899),Quiz 13 Strings (2961699),Quiz Avg,Exercises Registration (2680911),Exercises Checkpoint 1 (2680910),Exercises Checkpoint 2 (2680912),Final Project Checkpoint  (2863636),Final Project Draft (2680907),Final Project (2680908),Final Exam MC (3003561),Final Exam  (3003562),Portfolio Update (2680909),Extra Credit (2680906),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects and Exams Current Score,Projects and Exams Unposted Current Score,Projects and Exams Final Score,Projects and Exams Unposted Final Score,Wrapping Up Current Score,Wrapping Up Unposted Current Score,Wrapping Up Final Score,Wrapping Up Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,40,10,10,10,10,10,10,10,10,10,10,10,10,10,100,50,100,200,50,50,100,111,100,100,500,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
201408-80536-1,40,9,8,3,8,3,8,4,9,6,8,6,9,1,63.07692308,50,100,200,50,50,80,48,61,100,400,100,100,100,100,70.91,70.91,70.91,70.91,100,100,100,100,70.32,70.32,70.32,70.32,100,100,100,100,80,80,80,80,90.7,90.7,90.7,90.7
201408-80536-1,40,6,8,0,7,0,6,7,8,0,0,4,0,0,35.38461538,50,93,,50,,,69,25,,,100,100,100,100,72,72,41.82,41.82,95.33,95.33,40.86,40.86,55.17,55.17,35.04,35.04,,,0,0,,,0,0,78.4,78.4,41.3,41.3
201408-80536-1,30,7,9,0,7,8,0,7,8,8,8,6,6,6,61.53846154,50,100,167,50,50,90,84,87,100,300,75,75,75,75,75.56,75.56,72.73,72.73,90.57,90.57,90.57,90.57,87.83,87.83,87.83,87.83,100,100,100,100,60,60,60,60,90.6,90.6,89.9,89.9
201408-80536-1,40,9,10,3.5,9,4,8,4,9,4,4,6,8,9,67.30769231,50,100,200,50,50,94,66,57,100,,100,100,100,100,72.73,72.73,72.73,72.73,100,100,100,100,77.13,77.13,77.13,77.13,100,100,100,100,,,0,0,89,89,89,89
201408-80536-1,40,9,10,7.5,9,8,9,9,10,8,9,9,0,8,81.15384615,50,100,200,50,50,94,84,95,100,,100,100,100,100,90,90,89.09,89.09,100,100,100,100,90.75,90.75,90.75,90.75,100,100,100,100,,,0,0,97,97,96.8,96.8
201408-80536-1,30,2,9,4.5,8,5,6,8,4,0,0,6,4,0,43.46153846,50,100,105,,,,,,,,75,75,75,75,63.13,63.13,51.36,51.36,72.86,72.86,72.86,72.86,,,0,0,,,0,0,,,0,0,69.5,69.5,45.7,45.7
201408-80536-1,30,7,9,8,11,9,9,7,10,0,9,0,8,8,73.07692308,50,100,200,50,50,89,102,99,95,,75,75,75,75,90,90,86.36,86.36,100,100,100,100,94.89,94.89,94.89,94.89,95,95,95,95,,,0,0,96.6,96.6,95.7,95.7
201408-80536-1,40,4,8,6.5,9,5,4,7,8,4,6,7,5,5,60.38461538,50,100,200,50,50,87,78,69,75,100,100,100,100,100,64.09,64.09,64.09,64.09,100,100,100,100,81.27,81.27,81.27,81.27,75,75,75,75,20,20,20,20,87.7,87.7,87.7,87.7
201408-80536-1,40,9,10,8,10,6,7,7,8,5,6,6,10,5,74.61538462,50,100,143,50,50,68,81,74,95,25,100,100,100,100,79.09,79.09,79.09,79.09,83.71,83.71,83.71,83.71,78.59,78.59,78.59,78.59,95,95,95,95,5,5,5,5,84.5,84.5,84.5,84.5
201408-80536-1,40,7,6,6.5,9,5,7,7,5,8,9,6,5,6,66.53846154,50,100,176,50,50,78,72,52,90,,100,100,100,100,69.55,69.55,69.55,69.55,93.14,93.14,93.14,93.14,73.48,73.48,73.48,73.48,90,90,90,90,,,0,0,84,84,84,84
201408-80536-1,40,7,9,7,11,8,6,8,10,7,9,7,7,9,80.76923077,50,100,200,50,50,89,93,86,95,,100,100,100,100,83.64,83.64,83.64,83.64,100,100,100,100,89.54,89.54,89.54,89.54,95,95,95,95,,,0,0,94.8,94.8,94.8,94.8
201408-80536-1,40,7,10,6.5,9,4,3,9,6,0,0,5,3,4,51.15384615,50,,129,50,50,68,57,29,100,,100,100,100,100,67.22,67.22,60.45,60.45,71.6,71.6,51.14,51.14,61.8,61.8,61.8,61.8,100,100,100,100,,,0,0,72.1,72.1,62.3,62.3
201408-80536-1,40,7,7,6.5,9,8,6,7,9,8,10,8,9,7,78.07692308,50,100,157,50,50,80,72,91,100,,100,100,100,100,80.91,80.91,80.91,80.91,87.71,87.71,87.71,87.71,83.45,83.45,83.45,83.45,100,100,100,100,,,0,0,87.8,87.8,87.8,87.8
201408-80536-1,40,6,6,6,10,8,3,7,5,5,8,5,5,3,59.23076923,50,100,114,50,50,57,57,43,90,50,100,100,100,100,64.55,64.55,64.55,64.55,75.43,75.43,75.43,75.43,62.53,62.53,62.53,62.53,90,90,90,90,10,10,10,10,73.2,73.2,73.2,73.2
201408-80536-1,30,7,9,4,10,6,9,6,7,0,8,9,9,8,70.76923077,50,100,176,50,50,93,69,74,90,,75,75,75,75,82,82,80,80,93.14,93.14,93.14,93.14,81.75,81.75,81.75,81.75,90,90,90,90,,,0,0,88.1,88.1,87.6,87.6
201408-80536-1,40,8,10,6,9,8,9,10,6,9,10,6,8,5,80,50,100,186,50,50,71,81,90,100,,100,100,100,100,84.55,84.55,84.55,84.55,96,96,96,96,83.21,83.21,83.21,83.21,100,100,100,100,,,0,0,92,92,92,92
