SIS User ID,Section,Pre-Test (4360072),Getting Started Quiz (4360081),Introductions (4360089),Journal 1 (4360108),Journal 2 (4360112),Journal 3 (4360113),Journal 4 (4360114),Journal 5 (4360115),Journal 6 (4360116),Journal 7 (4360117),Journal 8 (4360118),Journal 9 (4360119),Journal 10 (4360109),Journal 11 (4360110),Journal 12 (4360111),Journal 13 (4364878),Quiz 01 Java (4360082),Quiz 02 Variables (4360085),Quiz 03 Operators (4360078),Quiz 04 Decisions (4360074),Quiz 05 Methods (4360076),Quiz 06 Loops (4360087),Quiz 07 Arrays (4360073),"Quiz 08 Collections, Interfaces, Recursion, Maps, Big O (4360086)",Quiz 09 Number Systems and Strings  (4369612),Quiz 10 2d Arrays / Generics (4360083),Quiz 11 OOP (4360079),Quiz 12 Exceptions (4360080),Quiz 13 Data Structures / Collections (4360075),Quiz Avg,Exercises 1 (4360100),Exercises 2 (4360098),Exercises 3 (4360093),Exercises 4 (4360096),Exercises 5 (4360095),Exercises 6 (4360092),Exercises 7 (4360091),Exercises 8 (4360090),Exercises 9 (4360099),Exercises 10 (4360097),Exercises 11 (4360094),Exercises 12 (4364809),Exercises 13 (4364845),Integration Project PSI 1 Inspection (4360105),Innovation Project PSI 1 Inspection (4360102),Integration Project PSI 2 Inspection (4360106),Innovation Project PSI 2 Inspection (4360103),Integration Project PSI 3 Inspection (4360107),Innovation Project Final (4360101),Integration Project Final  (4360104),Portfolio Update (4360120),Team Score (4360121),SPoI (4388164),Post-Test (4360084),Final Exam  (4360077),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,50,36,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU814691451,201608-80599-1,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,8,9,10,10,9,7,8,10,89.23076923,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,84,100,99,0,85,50,32,98,100,100,100,100,100,100,100,100,94.55,94.55,94.55,94.55,100,100,100,100,97.57,97.57,97.57,97.57,54,54,54,54,95.59,95.59,95.59,95.59,97.15,97.15,97.15,97.15
STU815068627,201608-80599-1,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,9,10,9,11,10,10,10,10,9,96.92307692,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,98,100,92,50,31,97,100,100,100,100,100,100,100,100,98.18,98.18,98.18,98.18,100,100,100,100,99.71,99.71,99.71,99.71,96.8,96.8,96.8,96.8,94.12,94.12,94.12,94.12,99.04,99.04,99.04,99.04
STU814890969,201608-80599-1,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,8,8,10,9,10,11,11,9,0,8,9,86.92307692,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,90,85,55,80,86,55,77,50,33,70,100,100,100,100,98.46,98.46,98.46,98.46,95.45,95.45,95.45,95.45,100,100,100,100,85.14,85.14,85.14,85.14,72.8,72.8,72.8,72.8,75.74,75.74,75.74,75.74,93.43,93.43,93.43,93.43
STU815149973,201608-80599-1,36,8,50,10,10,10,10,0,10,10,10,10,10,10,0,10,10,10,7,9,8,9,8,11,10,9,8,9,7,88.46153846,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,78,100,90,100,83,90,70,50,28,61,100,100,100,100,84.62,84.62,84.62,84.62,91.82,91.82,91.82,91.82,100,100,100,100,93,93,93,93,84,84,84,84,65.44,65.44,65.44,65.44,91.88,91.88,91.88,91.88
STU815125189,201608-80599-1,36,8,42,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,8,9,10,9,10,6,8,9,9,9,9,88.46153846,10,10,10,10,10,10,10,10,10,10,10,10,10,100,95,88,95,82,100,21,85,68,50,28,83,91.49,91.49,91.49,91.49,100,100,100,100,91.82,91.82,91.82,91.82,100,100,100,100,83,83,83,83,81.2,81.2,81.2,81.2,81.62,81.62,81.62,81.62,92.86,92.86,92.86,92.86
STU814905956,201608-80599-1,36,8,50,6,10,10,10,10,10,8,8,8,8,8,7,8,9,10,8,7,8,7,9,8,10,8,5,7,9,80.76923077,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,95,100,100,90,91,90,85,50,31,92,100,100,100,100,85.38,85.38,85.38,85.38,84.55,84.55,84.55,84.55,100,100,100,100,96.57,96.57,96.57,96.57,90,90,90,90,90.44,90.44,90.44,90.44,93.36,93.36,93.36,93.36
STU815065993,201608-80599-1,36,8,50,10,10,8,8,8,10,10,6,6,10,6,10,10,9,9,5,10,9,6,8,8,10,0,8,9,6,74.61538462,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,78,100,100,100,91,85,79,50,31,89,100,100,100,100,86.15,86.15,86.15,86.15,83.64,83.64,83.64,83.64,100,100,100,100,95.57,95.57,95.57,95.57,85.6,85.6,85.6,85.6,88.24,88.24,88.24,88.24,92.81,92.81,92.81,92.81
STU815018716,201608-80599-1,36,8,50,6,8,10,6,6,6,10,6,6,6,6,6,8,7,9,6,7,7,7,9,6,10,7,6,7,7,73.07692308,10,10,10,10,10,10,10,10,10,10,10,10,10,100,95,90,90,80,90,88,100,77,50,32,74,100,100,100,100,69.23,69.23,69.23,69.23,75.45,75.45,75.45,75.45,100,100,100,100,90.43,90.43,90.43,90.43,90.8,90.8,90.8,90.8,77.94,77.94,77.94,77.94,87.23,87.23,87.23,87.23
STU815088251,201608-80599-1,36,8,50,10,10,10,8,4,10,6,2,0,0,0,0,0,10,10,5,7,8,7,8,7,8,10,3,9,10,78.46153846,10,5,10,10,10,10,10,10,10,10,10,10,10,100,50,46,80,45,80,60,55,58,,29,46,100,100,100,100,46.15,46.15,46.15,46.15,85.45,85.45,85.45,85.45,96.15,96.15,96.15,96.15,65.86,65.86,65.86,65.86,56.5,56.5,45.2,45.2,55.15,55.15,55.15,55.15,77.5,77.5,77.27,77.27
