SIS User ID,Section,Pre-Test (4004984),Introductions (4004993),Getting Started Quiz (4004977),Journal 1 (4005014),Journal 2 (4005018),Journal 3 (4005019),Journal 4 (4005020),Journal 5 (4005021),Journal 6 (4005022),Journal 7 (4005023),Journal 8 (4005024),Journal 9 (4005025),Journal 10 (4005015),Journal 11 (4005016),Journal 12 (4005017),Quiz 01 Java (4004983),Quiz 02 Variables (4004981),Quiz 03 Classes / Operators / Arithmetic (4004980),Quiz 04 Decisions (4004973),Quiz 05 Methods (4004988),Quiz 06 Loops (4004978),Quiz 07 Exceptions (4004985),Quiz 08 OOP (4004974),Quiz 09 Arrays (4004990),Quiz 10 Data Structures / Collections / Strings (4004987),Quiz 11 2d Arrays / Generics (4004989),Quiz 12 OOP2 (4004975),Quiz Avg,Exercises Variables (4005004),Exercises Operators & Arithmetic / Basics (4005002),Exercises Flow Control / If and Switch (4004997),Exercises Methods (4005000),Exercises Loops (4004999),Exercises Exception Handling (4004996),Exercises Classes (4004995),Exercises Arrays & Collections / Arrays (4004994),Exercises Miscellaneous / Generics (4005001),Exercises Inheritance & Polymorphism / Abstract Class and Inheritance (4004998),Exercises Strings (4005003),Integration Project PSI 1 Inspection (4005011),Innovation Project PSI 1 Inspection (4005006),Integration Project PSI 2 Inspection (4005012),Innovation Project PSI 2 Inspection (4005007),Integration Project PSI 3 Inspection (4005013),Innovation Project Final (4005005),Integration Project Final  (4005010),Team Score (4005027),Portfolio Update (4005026),Extra Credit (4004992),Post-Test (4004979),Final Exam  (4004982),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Teamwork Current Score,Teamwork Unposted Current Score,Teamwork Final Score,Teamwork Unposted Final Score,Portfolio Current Score,Portfolio Unposted Current Score,Portfolio Final Score,Portfolio Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,36,50,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,11,10,10,10,100,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,100,100,100,100,100,300,36,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815044392,201601-11838-1,36,50,8,10,10,10,9,10,10,10,,8,,8,,9,10,6,9,10,9,8,0,10,6,6,9,74.79674797,3,6,3,3,3,2,,3,3,,3,85,100,80,,94,,74,72,80,,29,85,100,100,100,100,94.44,94.44,70.83,70.83,86.02,86.02,83.5,83.5,87.88,87.88,69.05,69.05,86.6,86.6,61.86,61.86,72,72,72,72,80,80,80,80,,,0,0,83.82,83.82,83.82,83.82,87.63,87.63,72.88,72.88
STU815025602,201601-11838-1,36,50,7,10,10,,6,4,4,4,4,4,,,6,10,8,7,0,8.33,7,7,8,9,8,6,5,67.74796748,3,6,2,3,3,3,3,6,3,6,3,85,100,65,100,42,100,45,96,65,,25,54,98.94,98.94,98.94,98.94,57.78,57.78,43.33,43.33,79.49,79.49,77.56,77.56,97.62,97.62,97.62,97.62,76.71,76.71,76.71,76.71,96,96,96,96,65,65,65,65,,,0,0,58.09,58.09,58.09,58.09,81.41,81.41,79.29,79.29
STU815006715,201601-11838-1,36,50,8,6,8,8,10,10,8,5,4,8,6,8,2,8,9,7,5,9,7,0,0,8,7,8,0,55.28455285,3,6,3,3,3,2,3,6,3,4,3,100,100,45,100,49,95,17,74,45,0,24,51,100,100,100,100,69.17,69.17,69.17,69.17,78.87,78.87,66.02,66.02,92.86,92.86,92.86,92.86,72.29,72.29,72.29,72.29,74,74,74,74,45,45,45,45,0,0,0,0,55.15,55.15,55.15,55.15,79.14,79.14,76.57,76.57
STU815041895,201601-11838-1,36,50,8,6,10,8,6,,,,,,,,,7,9,5,9,9,8,0,9,6,6,4,9,65.85365854,3,6,3,3,,,,,,,,78,100,,100,,,,85,,,28,3,100,100,100,100,75,75,25,25,77.42,77.42,74.76,74.76,100,100,35.71,35.71,92.67,92.67,39.71,39.71,85,85,85,85,,,0,0,,,0,0,22.79,22.79,22.79,22.79,84.94,84.94,44.37,44.37
STU814989554,201601-11838-1,36,48,7,10,10,10,8,8,8,2,10,8,,10,8,9,9,6,7,9,3,6,5,9,0,9,5,62.60162602,3,6,3,3,3,2,3,6,3,6,3,100,100,70,100,61,100,70,100,95,,25,80,96.81,96.81,96.81,96.81,83.64,83.64,76.67,76.67,74.19,74.19,71.84,71.84,97.62,97.62,97.62,97.62,85.86,85.86,85.86,85.86,100,100,100,100,95,95,95,95,,,0,0,77.21,77.21,77.21,77.21,87.33,87.33,86.02,86.02
STU815152057,201601-11838-1,36,50,7,10,10,10,5,10,8,6,4,9,,,,10,9,3,7,8,8,7,5,7,7,4,0,60.97560976,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,80,100,78,77,75,,30,59,98.94,98.94,98.94,98.94,80,80,60,60,73.12,73.12,69.9,69.9,100,100,100,100,94,94,94,94,77,77,77,77,75,75,75,75,,,0,0,65.44,65.44,65.44,65.44,87.55,87.55,84.51,84.51
STU815012378,201601-11838-1,36,42,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,9,10,10,9,10,94.30894309,3,6,3,3,3,3,3,6,3,6,3,100,100,100,100,92,100,100,100,95,,31,93,91.49,91.49,91.49,91.49,100,100,100,100,97.03,97.03,97.03,97.03,100,100,100,100,98.86,98.86,98.86,98.86,100,100,100,100,95,95,95,95,,,0,0,91.18,91.18,91.18,91.18,98.19,98.19,98.19,98.19
STU814840534,201601-11838-1,36,50,6,8,8,8,10,10,8,5,6,,8,,,6,9,7,7,3.33,4,6,4,0,4,0,5,44.98373984,3,6,3,3,3,3,1,,,,,85,100,60,100,,,,,,,23,3,97.87,97.87,97.87,97.87,78.89,78.89,59.17,59.17,58.54,58.54,54.25,54.25,91.67,91.67,52.38,52.38,86.25,86.25,49.29,49.29,,,0,0,,,0,0,,,0,0,19.12,19.12,19.12,19.12,76.89,76.89,49.86,49.86
STU815118217,201601-11838-1,36,50,8,10,10,10,10,10,10,8,8,10,8,8,8,9,9,7,11,9.33,5,9,0,10,6,5,9,72.62601626,3,6,3,3,3,3,3,6,3,6,3,100,100,70,100,95,100,88,100,80,,33,96,100,100,100,100,91.67,91.67,91.67,91.67,81.88,81.88,81.88,81.88,100,100,100,100,93.29,93.29,93.29,93.29,100,100,100,100,80,80,80,80,,,0,0,94.85,94.85,94.85,94.85,93.21,93.21,93.21,93.21
