section,section_id,section_sis_id,submitted,14659643: Do you believe you significantly contributed to student learning?,14659648: Optional: you may provide more explanation for your above answer here.,"14659644: How much do you agree with the following statement?
My role as a learning assistant in this class was clearly defined and followed the criteria set out for LAs.",14659645: Optional: you may provide more explanation for your above answer here.,"14659646: How much do you agree with the following statement?
I feel my experience in the LA program has helped me to become a more effective teacher of the topic.",14659650: Optional: you may provide more explanation for your above answer here.,14659655: How would you describe your level of student interaction?,14659651: Optional: you may provide more explanation for your above answer here.,14659657: Have you developed more effective learning skills or study tactics as a result of being an LA?,14659652: Optional: you may provide more explanation for your above answer here.
201908-83877-1,544707,201908-83877-1,2019-12-11 03:22:52 UTC,10 - I can think of several students who would have struggled to pass without me.,N/A,5 - Completely agree,N/A,5 - Completely agree,N/A,10 - Most classes had significant interactions with students,N/A,10 - My study tactics have changed significantly as a result of being an LA.,N/A
201908-83877-1,544707,201908-83877-1,2019-12-09 18:10:01 UTC,7,,5 - Completely agree,,5 - Completely agree,,10 - Most classes had significant interactions with students,,9,
201908-83877-1,544707,201908-83877-1,2019-12-09 18:05:17 UTC,6,,4 - Somewhat agree,,5 - Completely agree,,4,Most classes were lectures that took up the whole class time.,8,
201908-83877-1,544707,201908-83877-1,2019-12-09 00:02:12 UTC,6,,4 - Somewhat agree,,4 - Somewhat agree,,10 - Most classes had significant interactions with students,,10 - My study tactics have changed significantly as a result of being an LA.,
201908-83877-1,544707,201908-83877-1,2019-12-07 00:01:17 UTC,5,I feel like it was about 50/50. Some students wanted my help and some didn't need it in general.,5 - Completely agree,"It wasn't too little work or too much work, so my expectations were balanced.",5 - Completely agree,"I agree because I was nervous to start, but eventually the readings and interactions with students helped me to overcome that small obstacle.",4,"Students mostly asked my faculty mentor for help, so there wasn't much interaction throughout the semester.",5,It's still about 50/50 for me with studying as a student.
201908-83877-1,544707,201908-83877-1,2019-12-06 19:59:12 UTC,5,,3 - Neutral,,3 - Neutral,,5,,5,
201908-83877-1,544707,201908-83877-1,2019-12-06 15:05:10 UTC,5,,4 - Somewhat agree,,4 - Somewhat agree,,6,,8,
201908-83877-1,544707,201908-83877-1,2019-12-04 22:48:10 UTC,7,,4 - Somewhat agree,,5 - Completely agree,,8,,8,
201908-83877-1,544707,201908-83877-1,2019-12-04 19:39:06 UTC,7,,5 - Completely agree,,5 - Completely agree,,10 - Most classes had significant interactions with students,,8,
201908-83877-1,544707,201908-83877-1,2019-12-03 16:05:47 UTC,9,"I made myself very available outside of class, and hosted review sessions before every tests except one (there were 5 tests). So, I do believe that if I wasn't here, the students, and I can think of two in particular, would have struggled more. They could have seemed out help from other places, but I feel me being here made it easier for them to study/review.",4 - Somewhat agree,"I felt I did things throughout the semester that weren't necessarily required of me to do. For example, the study sessions. Little things, and maybe I was suppose to do that. But I enjoyed doing more so it wasn't an issue.",5 - Completely agree,"I would like to be a teacher in the future, so being able to see things from more of the teachers perspective definitely helped me.",9,"Some days students didn't have problems, and some days they had lots. With math, it's just hit or miss.",9,"I feel like I matured in the ways of a student. I can see what I used to do because I see it in the students. I also did learn study habits, and when to start and stop studying as well."
201908-83877-1,544707,201908-83877-1,2019-12-03 00:01:26 UTC,9,,4 - Somewhat agree,,5 - Completely agree,,8,,10 - My study tactics have changed significantly as a result of being an LA.,
201908-83877-1,544707,201908-83877-1,2019-12-02 20:59:36 UTC,8,,4 - Somewhat agree,,5 - Completely agree,,9,,7,
