Course,Course Name,Select Group One,Select Group Two,Learning Assistant,Semester,,A/B,C/C+,D/F/C-,W,Grand Total
BSC1010C,Gen'l Biology w/Lab I,Female,First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,34.80%,28.60%,17.00%,19.60%,100.00%
BSC1010C,Gen'l Biology w/Lab I,Female,First Generation, ,Fall 2016,Number of Records,39,32,19,22,112
BSC1010C,Gen'l Biology w/Lab I,Female,No First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,45.20%,22.30%,14.90%,17.60%,100.00%
BSC1010C,Gen'l Biology w/Lab I,Female,No First Generation, ,Fall 2016,Number of Records,255,126,84,99,564
BSC1010C,Gen'l Biology w/Lab I,Male,First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,40.50%,23.80%,14.30%,21.40%,100.00%
BSC1010C,Gen'l Biology w/Lab I,Male,First Generation, ,Fall 2016,Number of Records,17,10,6,9,42
BSC1010C,Gen'l Biology w/Lab I,Male,No First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,39.70%,20.60%,19.50%,20.20%,100.00%
BSC1010C,Gen'l Biology w/Lab I,Male,No First Generation, ,Fall 2016,Number of Records,110,57,54,56,277
CHM1045 ,General Chemistry I,Female,First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,39.70%,20.60%,14.30%,25.40%,100.00%
CHM1045 ,General Chemistry I,Female,First Generation, ,Fall 2016,Number of Records,25,13,9,16,63
CHM1045 ,General Chemistry I,Female,No First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,42.10%,25.60%,16.50%,15.80%,100.00%
CHM1045 ,General Chemistry I,Female,No First Generation, ,Fall 2016,Number of Records,115,70,45,43,273
CHM1045 ,General Chemistry I,Male,First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,34.40%,34.40%,21.90%,9.40%,100.00%
CHM1045 ,General Chemistry I,Male,First Generation, ,Fall 2016,Number of Records,11,11,7,3,32
CHM1045 ,General Chemistry I,Male,No First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,31.00%,29.40%,13.40%,26.20%,100.00%
CHM1045 ,General Chemistry I,Male,No First Generation, ,Fall 2016,Number of Records,58,55,25,49,187
COP2006 ,Introduction to Programming,Female,First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,100.00%,0.00%,0.00%,0.00%,100.00%
COP2006 ,Introduction to Programming,Female,First Generation, ,Fall 2016,Number of Records,2,0,0,0,2
COP2006 ,Introduction to Programming,Female,No First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,100.00%,0.00%,0.00%,0.00%,100.00%
COP2006 ,Introduction to Programming,Female,No First Generation, ,Fall 2016,Number of Records,7,0,0,0,7
COP2006 ,Introduction to Programming,Male,First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,37.50%,37.50%,25.00%,0.00%,100.00%
COP2006 ,Introduction to Programming,Male,First Generation, ,Fall 2016,Number of Records,3,3,2,0,8
COP2006 ,Introduction to Programming,Male,No First Generation, ,Fall 2016,% of Total Distinct count of SDF_ROOT_PIDM along COURSE_GRADE_ODS,69.20%,25.60%,2.60%,2.60%,100.00%
COP2006 ,Introduction to Programming,Male,No First Generation, ,Fall 2016,Number of Records,27,10,1,1,39
