SIS User ID,Section,Pre-Test (4417891),Getting Started Quiz (4417890),Introductions (4417895),Journal 1 (4417916),Journal 2 (4417921),Journal 3 (4417922),Journal 4 (4417923),Journal 5 (4417924),Journal 6 (4417925),Journal 7 (4417926),Journal 8 (4417927),Journal 9 (4417928),Journal 10 (4417917),Journal 11 (4417918),Journal 12 (4417919),Journal 13 (4417920),Quiz 01 Java (4417888),Quiz 02 Variables (4417882),Quiz 03 Operators (4417883),Quiz 04 Decisions (4417893),Quiz 05 Methods (4417879),Quiz 06 Loops (4417894),Quiz 07 Arrays (4417881),"Quiz 08 Collections, Interfaces, Recursion, Maps, Big O (4417892)",Quiz 09 Number Systems and Strings  (4417885),Quiz 10 2d Arrays / Generics (4417887),Quiz 11 OOP (4417889),Quiz 12 Exceptions (4417880),Quiz 13 Data Structures / Collections (4417878),Quiz Avg,Exercises 1 (4417896),Exercises 2 (4417901),Exercises 3 (4417902),Exercises 4 (4417903),Exercises 5 (4417904),Exercises 6 (4417905),Exercises 7 (4417906),Exercises 8 (4417907),Exercises 9 (4417908),Exercises 10 (4417897),Exercises 11 (4417898),Exercises 12 (4417899),Exercises 13 (4417900),Integration Project PSI 1 Inspection (4417913),Innovation Project PSI 1 Inspection (4417910),Integration Project PSI 2 Inspection (4417914),Innovation Project PSI 2 Inspection (4417911),Integration Project PSI 3 Inspection (4417915),Innovation Project Final (4417909),Integration Project Final  (4417912),Portfolio Update (4417929),Team Score (4417931),SPoI (4417930),Post-Test (4417884),Final Exam  (4417886),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,50,50,36,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815089089,201701-10422-1,36,8,28,10,10,10,10,10,10,10,10,10,10,10,10,10,7,7,8,6,5,5,3,0,10,7,2,6,5,54.61538462,10,10,10,10,10,10,10,10,10,10,10,10,10,95,100,83,100,52,100,61,70,32,50,26,38,76.6,76.6,76.6,76.6,100,100,100,100,62.73,62.73,62.73,62.73,100,100,100,100,84.43,84.43,84.43,84.43,76,76,76,76,47.06,47.06,47.06,47.06,84.01,84.01,84.01,84.01
STU815042900,201701-10422-1,36,8,50,10,10,10,10,6,10,10,10,10,10,10,10,6,8,10,7,6,7,8,6,9,1,7,4,4,6,63.84615385,5,10,10,10,10,7.5,10,10,7.5,10,10,10,10,75,100,71,100,74,100,66,90,46,50,29,50,100,100,100,100,93.85,93.85,93.85,93.85,70.91,70.91,70.91,70.91,92.31,92.31,92.31,92.31,83.71,83.71,83.71,83.71,93,93,93,93,58.09,58.09,58.09,58.09,84.02,84.02,84.02,84.02
STU815159751,201701-10422-1,36,8,50,10,10,10,10,10,10,10,10,10,10,6,10,10,8,8,8,9,7,8,9,8,8,8,10,8,7,81.53846154,10,10,10,10,10,10,10,10,10,8,10,10,10,90,100,83,100,69,100,85,100,0,0,26,89,100,100,100,100,96.92,96.92,96.92,96.92,83.64,83.64,83.64,83.64,98.46,98.46,98.46,98.46,89.57,89.57,89.57,89.57,50,50,50,50,84.56,84.56,84.56,84.56,91.48,91.48,91.48,91.48
STU815020672,201701-10422-1,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,8,9,10,9,8,9,8,10,6,8,9,10,8,86.15384615,10,10,10,10,10,10,10,10,10,10,10,10,10,95,100,100,100,74,100,91,100,46,50,29,87,100,100,100,100,100,100,100,100,89.09,89.09,89.09,89.09,100,100,100,100,94.29,94.29,94.29,94.29,98,98,98,98,85.29,85.29,85.29,85.29,95.46,95.46,95.46,95.46
STU815075560,201701-10422-1,36,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,9,7,5,8,5,2,3,10,4,6,4,7,4,56.92307692,10,10,10,10,10,7.5,6,10,10,10,10,10,10,80,100,88,100,82,100,84,105,46,50,21,25,100,100,100,100,100,100,100,100,62.73,62.73,62.73,62.73,95,95,95,95,90.57,90.57,90.57,90.57,100.5,100.5,100.5,100.5,33.82,33.82,33.82,33.82,83.68,83.68,83.68,83.68
STU815109021,201701-10422-1,36,8,50,10,10,9,10,10,10,10,10,10,10,10,10,10,8,10,8,8,5,8,10,10,8,9,10,10,7,85.38461538,10,6,10,10,10,10,10,10,10,10,10,10,10,95,100,65,100,70,100,72,100,35,50,27,95,100,100,100,100,99.23,99.23,99.23,99.23,90,90,90,90,96.92,96.92,96.92,96.92,86,86,86,86,92.5,92.5,92.5,92.5,89.71,89.71,89.71,89.71,93.08,93.08,93.08,93.08
STU815146484,201701-10422-1,20,8,50,9,8,8,0,0,8,6,0,8,0,0,0,0,10,9,9,6,7,9,7,8,9,6,8,6,6,76.92307692,10,10,10,10,10,10,10,10,10,10,10,10,10,90,90,78,90,17,20,0,98,0,50,32,93,82.98,82.98,82.98,82.98,36.15,36.15,36.15,36.15,80,80,80,80,100,100,100,100,55,55,55,55,74,74,74,74,91.91,91.91,91.91,91.91,77.02,77.02,77.02,77.02
STU815150098,201701-10422-1,36,8,50,10,10,10,10,10,10,10,10,9,10,10,10,10,9,10,8,8,8,2,8,8,7,8,8,8,6,75.38461538,10,6.6,10,10,10,10,10,10,10,10,10,10,10,95,100,88,100,64,100,59,100,38,50,22,71,100,100,100,100,99.23,99.23,99.23,99.23,81.82,81.82,81.82,81.82,97.38,97.38,97.38,97.38,86.57,86.57,86.57,86.57,94,94,94,94,68.38,68.38,68.38,68.38,90.04,90.04,90.04,90.04
STU815109037,201701-10422-1,36,7.8,50,6,10,8,10,8,10,10,10,10,10,10,10,10,10,10,9,10,8,8,9,9,9,9,8,10,10,91.53846154,10,10,10,5,10,10,10,10,10,8,10,10,10,100,100,100,95,92,100,95,100,32,50,30,88,99.79,99.79,99.79,99.79,93.85,93.85,93.85,93.85,93.64,93.64,93.64,93.64,94.62,94.62,94.62,94.62,97.43,97.43,97.43,97.43,91,91,91,91,86.76,86.76,86.76,86.76,94.34,94.34,94.34,94.34
