SIS User ID,Section,Pre-Test (4519969),Getting Started Quiz (4519968),Introductions (4519974),Journal 1 (4519995),Journal 2 (4520000),Journal 3 (4520001),Journal 4 (4520002),Journal 5 (4520003),Journal 6 (4520004),Journal 7 (4520005),Journal 8 (4520006),Journal 9 (4520007),Journal 10 (4519996),Journal 11 (4519997),Journal 12 (4519998),Quiz 01 Java (4519959),Quiz 02 Variables (4519966),Quiz 03 Operators (4519962),Quiz 04 Methods (4519963),Quiz 5 Objects (4574823),Quiz 12 Collections (4578494),Quiz 06 Loops (4519971),Quiz 07 Arrays (4519961),Quiz 08 Number Systems and Strings  (4519973),"Quiz 09 Multidimensional Arrays, Generics, Lists (4519972)",Quiz 10 OOP (4519958),Quiz 11 Exceptions (4519970),Quiz Avg,Exercises 1 (4519975),Exercises 2 (4519980),Exercises 3 (4519981),Exercises 4 (4519982),Exercises 5 (4519983),Exercises 6 (4519984),Exercises 7 (4519985),Exercises 8 (4519986),Exercises 9 (4519987),Exercises 10 (4519976),Exercises 11 (4519977),Exercises 12 (4519978),Integration Project PSI 1 Inspection (4519992),Innovation Project PSI 1 Inspection (4519989),Integration Project PSI 2 Inspection (4519993),Innovation Project PSI 2 Inspection (4519990),Integration Project PSI 3 Inspection (4519994),Innovation Project Final (4519988),Integration Project Final  (4519991),Team Check In (4520010),Team Check Up (4520011),Team Review (4520012),Portfolio Update (4520008),SPoI (4520009),Post-Test (4519965),Final Exam  (4519964),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,Quizzes Current Score,Quizzes Unposted Current Score,Quizzes Final Score,Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Team Score Current Score,Team Score Unposted Current Score,Team Score Final Score,Team Score Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Final Exam Current Score,Final Exam Unposted Current Score,Final Exam Final Score,Final Exam Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,34,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,100,100,150,100,150,100,150,100,200,50,100,100,100,50,34,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815180991,201801-10422-1,34,8,50,10,10,10,10,10,10,10,10,8,10,10,8,9,10,5,10,11,8,7,9,7,9,5,9,80.48780488,100,100,100,100,100,100,100,100,100,100,100,100,144,100,139,100,144,100,180,50,100,100,100,50,29,80,100,100,100,100,96.67,96.67,96.67,96.67,87.25,87.25,87.25,87.25,100,100,100,100,95.47,95.47,95.47,95.47,100,100,100,100,100,100,100,100,81.34,81.34,81.34,81.34,94.62,94.62,94.62,94.62
STU815157662,201801-10422-1,34,8,50,8,4,6,6,0,4,0,2,0,2,0,0,7,10,10,10,11,4,8,10,9,0,5,9,75.6097561,100,100,100,0,100,100,100,100,85,100,100,100,126,100,110,100,94,80,80,50,0,100,0,0,28,95,100,100,100,100,26.67,26.67,26.67,26.67,86.41,86.41,86.41,86.41,90.42,90.42,90.42,90.42,72.63,72.63,72.63,72.63,60,60,60,60,0,0,0,0,91.79,91.79,91.79,91.79,75.75,75.75,75.75,75.75
STU815130101,201801-10422-1,34,8,43,10,10,10,8,10,10,10,10,10,10,10,10,7,7,6.9,4,4,6,6,8,7,9,4,9,63.33333333,100,100,100,100,100,100,100,100,100,100,100,100,127,100,97,85,88,85,95,50,0,100,100,0,19,40,92.39,92.39,92.39,92.39,98.33,98.33,98.33,98.33,69.21,69.21,69.21,69.21,100,100,100,100,71.26,71.26,71.26,71.26,60,60,60,60,66.67,66.67,66.67,66.67,44.03,44.03,44.03,44.03,81.71,81.71,81.71,81.71
STU815183783,201801-10422-1,34,8,50,10,8,8,10,10,10,10,10,10,6,10,10,10,10,7.5,9,10,9,6,10,8,10,8,10,87.39837398,100,100,100,100,100,100,100,100,100,100,100,100,133,100,114,100,119,100,165,50,100,100,100,50,23,47,100,100,100,100,93.33,93.33,93.33,93.33,92.16,92.16,92.16,92.16,100,100,100,100,87.47,87.47,87.47,87.47,100,100,100,100,100,100,100,100,52.24,52.24,52.24,52.24,91.24,91.24,91.24,91.24
STU815102297,201801-10422-1,34,8,50,8,6,8,8,0,10,0,8,4,4,4,4,8,9,8,5.5,4,4,0,5,7,6,7,8,58.1300813,100,100,100,100,100,100,100,100,100,100,100,100,127,100,138,100,150,100,140,50,100,100,100,50,23,29,100,100,100,100,53.33,53.33,53.33,53.33,66.18,66.18,66.18,66.18,100,100,100,100,90,90,90,90,100,100,100,100,100,100,100,100,38.81,38.81,38.81,38.81,80.27,80.27,80.27,80.27
STU815124381,201801-10422-1,34,7,50,10,8,8,6,10,10,10,0,0,0,0,0,8,10,5,6,4,5,5,4,7,5,7,6,58.53658537,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,100,0,90,0,0,0,0,0,0,23,27,98.91,98.91,98.91,98.91,51.67,51.67,51.67,51.67,62.75,62.75,62.75,62.75,8.33,8.33,8.33,8.33,30.53,30.53,30.53,30.53,0,0,0,0,0,0,0,0,37.31,37.31,37.31,37.31,33.99,33.99,33.99,33.99
STU815150475,201801-10422-1,34,7,50,0,0,0,0,0,0,0,0,0,0,0,0,8,9,6,6.5,5,0,6,10,0,0,0,0,41.05691057,100,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,100,0,0,0,,,98.91,98.91,98.91,98.91,0,0,0,0,49.03,49.03,49.03,49.03,8.33,8.33,8.33,8.33,4.11,4.11,4.11,4.11,40,40,40,40,0,0,0,0,,,0,0,18.54,18.54,17.06,17.06
STU815183651,201801-10422-1,34,8,50,10,10,10,10,10,10,10,10,10,10,10,10,10,10,11,10,11,9,10,9,10,9,9,8,94.30894309,100,100,100,100,100,100,100,100,100,100,100,100,150,100,150,100,150,100,200,50,100,0,100,50,31,97,100,100,100,100,100,100,100,100,96.12,96.12,96.12,96.12,100,100,100,100,100,100,100,100,60,60,60,60,100,100,100,100,95.52,95.52,95.52,95.52,98.07,98.07,98.07,98.07
STU815125328,201801-10422-1,34,7,50,10,8,10,10,10,10,10,10,10,8,8,10,10,10,10,10,11,10,7,9,9,7,9,10,91.05691057,100,100,100,100,100,100,100,100,100,100,100,100,132,100,150,100,138,90,195,50,,0,100,0,31,90,98.91,98.91,98.91,98.91,95,95,95,95,95.15,95.15,95.15,95.15,100,100,100,100,95.26,95.26,95.26,95.26,33.33,33.33,20,20,66.67,66.67,66.67,66.67,90.3,90.3,90.3,90.3,94.62,94.62,94.36,94.36
