SIS User ID,Section,Getting Started Quiz (4700591),Introductions (4700603),Time Management (4700657),Grit and Growth Mindset (4700601),Professor Visit (4700630),Journal 1 (4700812),Journal 2 (4700818),Journal 3 (4700817),Journal 4 (4700816),Journal 5 (4700815),Journal 6 (4700814),Journal 7 (4700625),Journal 8 (4700626),Journal 9 (4700627),Journal 10 (4700622),Journal 11 (4700623),Journal 12 (4700624),Section 2 (4700631),Section 3 Lessons 1-2 (4700633),Section 3 Lesson 3-5 (4700632),Section 4 Lessons 1-2 (4700634),Section 4 Lessons 3-5 (4700635),Section 5 (4700636),Section 6 (4700637),Section 7 Lessons 1-3 (4700638),Section 7 Lessons 4-6 (4700639),Section 8 (4700640),Section 9 (4700641),Quiz 01 Java (4700595),Quiz 02 Data Types  (4700600),Quiz 03 Strings  (4700599),Quiz 04 Methods (4700587),Quiz 5 Strings and Library Classes (4700597),Quiz 06 Conditions and Operators (4700594),Quiz 07 Loops (4700596),Quiz 08 Objects (4700593),Quiz 09 Inheritance and Polymorphism (4700590),Quiz 10 Arrays (4700592),Quiz 11 Exceptions (4700598),Quiz Avg,Exercises 1 (4700606),Exercises 2 (4700609),Exercises 3 (4700610),Exercises 4 (4700611),Exercises 5 (4700612),Exercises 7 (4700614),Exercises 8 (4700615),Exercises 9 (4700616),Exercises 10 (4700607),Exercises 11 (4700608),Ticket 01 (4700644),Ticket 02 (4700645),Ticket 03 (4700646),Ticket 05 (4700648),Ticket 06 (4700649),Ticket 07 (4700650),Ticket 08 (4700651),Ticket 09 (4700652),Ticket 10 (4700653),Ticket 11 (4700654),Ticket 12 (4700655),Ticket 13 (4700656),Integration Project PSI 1 Inspection (4700620),Integration Project PSI 2 Inspection (4700621),Integration Project PSI 3 Inspection (4700920),Integration Project Final  (4700619),Team Communication (4700643),Team Collaboration (4700602),SPoI (4700642),Portfolio Update (4700629),Midterm Exam (4700628),Final Exam (4700618),Post-Test- Requires Respondus LockDown Browser (4700589),Final Cumulative Exam (4700617),Final Exam Code (4700588),1Z0-811 (4700605),Ticket 04 (4700647),Exercises 6 (4700613),Getting Started Current Score,Getting Started Unposted Current Score,Getting Started Final Score,Getting Started Unposted Final Score,Journals Current Score,Journals Unposted Current Score,Journals Final Score,Journals Unposted Final Score,iLearning Quizzes Current Score,iLearning Quizzes Unposted Current Score,iLearning Quizzes Final Score,iLearning Quizzes Unposted Final Score,Class Quizzes Current Score,Class Quizzes Unposted Current Score,Class Quizzes Final Score,Class Quizzes Unposted Final Score,Exercises Current Score,Exercises Unposted Current Score,Exercises Final Score,Exercises Unposted Final Score,Tickets Current Score,Tickets Unposted Current Score,Tickets Final Score,Tickets Unposted Final Score,Projects Current Score,Projects Unposted Current Score,Projects Final Score,Projects Unposted Final Score,Engagement Current Score,Engagement Unposted Current Score,Engagement Final Score,Engagement Unposted Final Score,Wrap Up Current Score,Wrap Up Unposted Current Score,Wrap Up Final Score,Wrap Up Unposted Final Score,Exams Current Score,Exams Unposted Current Score,Exams Final Score,Exams Unposted Final Score,Extra Credit Current Score,Extra Credit Unposted Current Score,Extra Credit Final Score,Extra Credit Unposted Final Score,Uncounted Current Score,Uncounted Unposted Current Score,Uncounted Final Score,Uncounted Unposted Final Score,Current Score,Unposted Current Score,Final Score,Unposted Final Score
,,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,15,15,15,15,15,15,15,15,15,15,15,10,10,10,10,10,11,10,10,10,10,10,100,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,100,100,100,200,100,100,50,100,100,100,34,100,100,100,10,100,(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only),(read only)
STU815055755,201901-10422-1,100,100,100,100,100,10,10,10,10,10,0,0,0,0,0,0,0,13,15,15,15,15,15,15,15,9,15,15,8,9,9,10,9,10.5,7,10,0,8,8,79.72972973,100,100,100,100,100,100,100,100,100,100,10,10,10,10,10,10,10,10,10,10,10,10,100,100,90,195,100,90,50,40,96,98,31,90,92,,,,100,100,100,100,41.67,41.67,41.67,41.67,95.15,95.15,95.15,95.15,89.56,89.56,89.56,89.56,100,100,100,100,100,100,100,100,97,97,97,97,95,95,95,95,60,60,60,60,93.78,93.78,93.78,93.78,,,0,0,,,0,0,92.19,92.19,92.19,92.19
STU815204769,201901-10422-1,100,100,100,100,100,10,10,10,10,10,10,10,10,8,10,0,0,15,15,15,15,14,15,14,15,15,13,15,10,9,6,9,10,9.25,8,8,8,8,0,76.8018018,100,100,85,100,100,85,100,100,70,100,10,10,10,10,10,10,0,10,10,10,10,10,100,85,100,179,100,90,50,100,96,98,26,88,70,,,,100,100,100,100,81.67,81.67,81.67,81.67,97.58,97.58,97.58,97.58,87.09,87.09,87.09,87.09,94,94,94,94,91.67,91.67,91.67,91.67,92.8,92.8,92.8,92.8,95,95,95,95,100,100,100,100,87.1,87.1,87.1,87.1,,,0,0,,,0,0,91.99,91.99,91.99,91.99
STU815010661,201901-10422-1,100,100,100,100,0,10,10,8,10,10,10,10,10,10,10,10,10,15,15,15,15,15,13,15,15,15,15,15,10,10,10,9,9,10.75,8,10,8,10,10,94.36936937,100,100,100,100,100,100,100,100,85,100,10,10,10,10,10,10,10,10,10,10,10,10,100,100,90,190,0,0,50,0,92,86,0,,0,100,,,80,80,80,80,98.33,98.33,98.33,98.33,98.79,98.79,98.79,98.79,97.53,97.53,97.53,97.53,98.5,98.5,98.5,98.5,100,100,100,100,96,96,96,96,0,0,0,0,33.33,33.33,33.33,33.33,53.29,53.29,41.01,41.01,100,100,100,100,,,0,0,104.46,104.46,102.62,102.62
STU815183669,201901-10422-1,80,80,100,80,0,0,8,0,0,0,0,0,0,0,0,0,0,15,15,15,14,15,15,14,14,15,15,13,9,10,8,9,9,10,6,9,8,10,9,87.38738739,100,100,100,100,80,95,100,100,95,90,10,10,10,10,10,10,10,10,10,10,10,10,95,95,45,95,100,100,50,80,86,90,30,90,94,,,,68,68,68,68,6.67,6.67,6.67,6.67,96.97,96.97,96.97,96.97,91.21,91.21,91.21,91.21,96,96,96,96,100,100,100,100,66,66,66,66,100,100,100,100,86.67,86.67,86.67,86.67,89.86,89.86,89.86,89.86,,,0,0,,,0,0,82.22,82.22,82.22,82.22
STU815074061,201901-10422-1,80,100,100,100,100,10,10,6,10,10,8,0,10,10,0,10,10,15,15,15,11,15,15,11,15,15,13,15,8,9,8,7,8,9.25,7,5,9,8,0,70.4954955,100,85,80,100,90,85,100,100,55,95,10,10,10,0,0,0,10,0,10,10,10,10,90,70,100,175,100,90,,100,96,92,29,88,60,,,,96,96,96,96,78.33,78.33,78.33,78.33,93.94,93.94,93.94,93.94,80.49,80.49,80.49,80.49,89,89,89,89,66.67,66.67,66.67,66.67,87,87,87,87,95,95,95,95,100,100,66.67,66.67,84.1,84.1,84.1,84.1,,,0,0,,,0,0,85.81,85.81,84.81,84.81
STU815168245,201901-10422-1,100,100,100,87,0,10,10,8,10,10,10,10,10,6,10,10,10,15,15,15,15,15,14,15,15,15,15,15,8,10,9,8,7,9,8,9,6,9,9,82.88288288,100,100,100,100,100,100,100,100,70,85,10,10,10,10,10,10,10,10,0,10,0,0,90,100,90,175,100,40,50,100,90,92,26,80,7,,,,77.4,77.4,77.4,77.4,95,95,95,95,99.39,99.39,99.39,99.39,86.81,86.81,86.81,86.81,95.5,95.5,95.5,95.5,75,75,75,75,91,91,91,91,70,70,70,70,100,100,100,100,67.97,67.97,67.97,67.97,,,0,0,,,0,0,86.37,86.37,86.37,86.37
STU814948554,201901-10422-1,100,100,100,100,0,10,10,10,0,0,0,0,0,0,0,0,0,10,15,15,15,15,15,15,15,15,15,15,8,10,10,8,10,0,7,7,7,9,9,76.57657658,100,100,100,100,100,100,100,100,100,100,10,0,10,10,10,10,10,10,0,0,0,0,100,100,100,200,100,0,50,100,96,96,0,,0,100,,,80,80,80,80,25,25,25,25,96.97,96.97,96.97,96.97,86.67,86.67,86.67,86.67,100,100,100,100,58.33,58.33,58.33,58.33,100,100,100,100,50,50,50,50,100,100,100,100,57.49,57.49,44.24,44.24,100,100,100,100,,,0,0,100.9,100.9,98.91,98.91
STU815174863,201901-10422-1,98,90,100,100,100,8,10,8,10,10,10,10,10,10,10,10,10,14,13,14,15,14,14,13,14,15,15,15,10,7,4,8,6,6,0,3,7,0,3,48.64864865,100,85,100,100,100,100,100,0,75,0,10,0,10,10,0,10,0,0,0,0,10,0,80,90,75,95,100,0,50,100,70,64,21,66,68,,,,97.6,97.6,97.6,97.6,96.67,96.67,96.67,96.67,94.55,94.55,94.55,94.55,59.34,59.34,59.34,59.34,76,76,76,76,41.67,41.67,41.67,41.67,68,68,68,68,50,50,50,50,100,100,100,100,66.59,66.59,66.59,66.59,,,0,0,,,0,0,72.07,72.07,72.07,72.07
STU815208953,201901-10422-1,80,100,50,87,100,6,8,6,8,10,8,8,8,8,10,8,10,6,13,15,14,10,7,8,12,15,15,14,5,9,9,5,7,4,3,2,7,4,8,56.75675676,70,100,85,70,0,85,100,100,65,85,10,10,10,10,0,10,10,10,10,10,10,10,90,70,50,80,100,90,50,90,78,98,20,74,25,,,,83.4,83.4,83.4,83.4,81.67,81.67,81.67,81.67,78.18,78.18,78.18,78.18,63.74,63.74,63.74,63.74,76,76,76,76,91.67,91.67,91.67,91.67,58,58,58,58,95,95,95,95,93.33,93.33,93.33,93.33,67.97,67.97,67.97,67.97,,,0,0,,,0,0,73.69,73.69,73.69,73.69
